,Template,edit_site,change_H,change_C,change_S,Frequency
13927,[n:1].[N:2]-[S:3]>>[n:1].[N:2].Cl-[S:3]_120_110_000,"{'A': [], 'B': [(2, 3)], 'C': [], 'R': [1, 1]}","{3: 0, 2: 2, 1: 1}","{3: 0, 2: 1, 1: 1}","{3: 0, 2: 0, 1: 0}",2
13928,[C:1]-[N:2]>>O-[C:1].O=P(-[N:2]=[N+]=[N-])(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1_0-2_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: -2}","{1: 0, 2: 0}","{1: 0, 2: 0}",1
13929,[O:2].[O:1]-[C:3]>>[O:1].[O:2]-C1-C-C-C-C-O-1.[C:3]-O-C1-C-C-C-C-O-1_1-10_000_000,"{'A': [2], 'B': [(1, 3)], 'C': [], 'R': []}","{2: -1, 3: 0, 1: 1}","{2: 0, 3: 0, 1: 0}","{2: 0, 3: 0, 1: 0}",2
13930,[O:1]-[C:2]-[O:3]=[C:4]>>[O:1].[C:2]=[O:3].[C:4]#[C:5]_1000-1_00000_00000,"{'A': [], 'B': [(3, 4), (1, 2)], 'C': [], 'R': []}","{4: 0, 5: -1, 3: 0, 2: 0, 1: 1}","{4: 0, 5: 0, 3: 0, 2: 0, 1: 0}","{4: 0, 5: 0, 3: 0, 2: 0, 1: 0}",2
13931,[N:3].[n:4].[c:1]-[C:2]>>[c:1].[C:2]-[N:3].[n:4]-C1-C-C-C-C-O-1_10-1-1_0000_0000,"{'A': [3, 4], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0, 3: -1, 4: -1}","{1: 0, 2: 0, 3: 0, 4: 0}","{1: 0, 2: 0, 3: 0, 4: 0}",3
13932,[O:3].[O:4].[N:1]-[C:2]>>[N:1].Br-[C:2].C-C(-C)(-C)-[O:3].C-C(-C)(-C)-[O:4]_10-1-1_0000_0000,"{'A': [3, 4], 'B': [(1, 2)], 'C': [], 'R': []}","{3: -1, 1: 1, 2: 0, 4: -1}","{3: 0, 1: 0, 2: 0, 4: 0}","{3: 0, 1: 0, 2: 0, 4: 0}",1
13933,[O:2].[C:3]-[C:4]-[c:1]>>[c:1].C-[O:2].[C:3]=[C:4]_1-1-10_0000_0000,"{'A': [2], 'B': [(1, 4)], 'C': [], 'R': []}","{4: 0, 3: -1, 1: 1, 2: -1}","{4: 0, 3: 0, 1: 0, 2: 0}","{4: 0, 3: 0, 1: 0, 2: 0}",3
13934,[c:2]:[n:3]:[n:1]>>[N:1].[C:2].C-C(-C)-C-C-O-[N:3]=O_22-1_000_000,"{'A': [], 'B': [(2, 3), (1, 3)], 'C': [], 'R': []}","{2: 2, 1: 2, 3: -1}","{2: 0, 1: 0, 3: 0}","{2: 0, 1: 0, 3: 0}",5
13935,[C:2]-[n:4](:[n:5]):[c:3]:[c:1]>>[c:1].O=[C:2].O=[C:3].[N:4]-[N:5]_1-1121_00000_00000,"{'A': [], 'B': [(1, 3), (3, 4), (2, 4)], 'C': [], 'R': []}","{1: 1, 3: 1, 4: 2, 2: -1, 5: 1}","{1: 0, 3: 0, 4: 0, 2: 0, 5: 0}","{1: 0, 3: 0, 4: 0, 2: 0, 5: 0}",4
13936,[C:2]=[C:3].[O:4]-[C:5]-[c:1]>>Br-[c:1].[c:2]:[c:3].[O:4]=[c:5]_000-10_00000_00000,"{'A': [], 'B': [(1, 5)], 'C': [(3, 2), (2, 3)], 'R': []}","{1: 0, 5: 0, 4: -1, 2: 0, 3: 0}","{1: 0, 5: 0, 4: 0, 2: 0, 3: 0}","{1: 0, 5: 0, 4: 0, 2: 0, 3: 0}",2
13937,[c:1]-[c:2]:[n:3]>>Br-[c:1].C-C1(-C)-O-B(-[c:2]:[n:3]-C2-C-C-C-C-O-2)-O-C-1(-C)-C_00-1_000_000,"{'A': [3], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0, 3: -1}","{2: 0, 1: 0, 3: 0}","{2: 0, 1: 0, 3: 0}",11
13938,[O:2].[O:3].[O:4].[O:5].[c:1]-[C:6]>>Br-[c:1].C-C(=O)-[O:2].C-C(=O)-[O:3].C-C(=O)-[O:4].C-C(=O)-[O:5].N#[C]-[Zn]-[C:6]_0-1-1-1-10_000000_000000,"{'A': [5, 4, 3, 2], 'B': [(1, 6)], 'C': [], 'R': []}","{1: 0, 6: 0, 5: -1, 4: -1, 3: -1, 2: -1}","{1: 0, 6: 0, 5: 0, 4: 0, 3: 0, 2: 0}","{1: 0, 6: 0, 5: 0, 4: 0, 3: 0, 2: 0}",1
13939,[O:3].[Cl:1]-[Na:2]>>[Cl:1].[Na:2]-[OH].C-C-[O:3]_10-1_000_000,"{'A': [3], 'B': [(1, 2)], 'C': [], 'R': []}","{3: -1, 2: 0, 1: 1}","{3: 0, 2: 0, 1: 0}","{3: 0, 2: 0, 1: 0}",6
13940,[N:3].[O:5]=[C:4](-[O:1])-[c:2]>>[O:1].Br-[c:2].C-C(=O)-[N:3].[C:4]#[O:5]_10-100_000-11_00000,"{'A': [3], 'B': [(1, 4), (2, 4)], 'C': [], 'R': []}","{1: 1, 4: 0, 2: 0, 3: -1, 5: 0}","{1: 0, 4: -1, 2: 0, 3: 0, 5: 1}","{1: 0, 4: 0, 2: 0, 3: 0, 5: 0}",1
13941,[N:3].[n:2].[N:1]>>C-C(-C)(-C)-O-C(=O)-[N:1].C-O-c1:c:c:c(-C-[n:2]):c:c:1.[N:3]=C(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1_-1-1-2_000_000,"{'A': [1, 2, 3], 'B': [], 'C': [], 'R': []}","{1: -1, 2: -1, 3: -2}","{1: 0, 2: 0, 3: 0}","{1: 0, 2: 0, 3: 0}",2
13942,[C:3].[O:1].[O:2]>>C-[O:1].C-[O:2].O-[C:3]_-1-1-1_000_000,"{'A': [3, 1, 2], 'B': [], 'C': [], 'R': []}","{3: -1, 1: -1, 2: -1}","{3: 0, 1: 0, 2: 0}","{3: 0, 1: 0, 2: 0}",1
13943,[C:1]=[C:2]>>C-C=[C:1].C-C(-C)=[C:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",1
13944,[c:5]1:[n:6]:[c:1]:[c:2]:[n:3]:[n:4]:1>>C-C-O-[C:1]-[C:2]=S.[N:3]-[N:4]-[C:5]=[N:6]_002100_000000_000000,"{'A': [], 'B': [(1, 6), (2, 3)], 'C': [(5, 4), (4, 5)], 'R': []}","{1: 0, 2: 0, 3: 2, 4: 1, 5: 0, 6: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",1
13945,[N:1]>>O-C(=O)-C-C-[N:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},1
13946,[C:1]-[n:8]:[c:7]1:[c:6]:[c:5]:[c:4]:[c:3]:[c:2]:1>>Cl-[C:1].[C:2]1=[C:3]-[C:4]=[C:5]-[C:6]-[C:7]=[N:8]-1_00000100_00000000_00000000,"{'A': [], 'B': [(1, 8)], 'C': [(6, 5), (5, 6), (6, 7), (7, 6), (5, 4), (4, 5), (4, 3), (3, 4), (3, 2), (2, 3), (2, 7), (7, 2)], 'R': []}","{6: 1, 5: 0, 4: 0, 3: 0, 2: 0, 7: 0, 8: 0, 1: 0}","{6: 0, 5: 0, 4: 0, 3: 0, 2: 0, 7: 0, 8: 0, 1: 0}","{6: 0, 5: 0, 4: 0, 3: 0, 2: 0, 7: 0, 8: 0, 1: 0}",1
13947,[O:1]-[C:3]-[O:2]>>[O:1].[O:2].N-C-C-C-C1-C-O-[C:3]-O-1_110_000_000,"{'A': [], 'B': [(1, 3), (2, 3)], 'C': [], 'R': []}","{3: 0, 1: 1, 2: 1}","{3: 0, 1: 0, 2: 0}","{3: 0, 1: 0, 2: 0}",1
13948,[N:1]-[F:2]>>[N:1].F-[F:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",4
13949,[O:1].[c:5]1:[n:4]:[c:3]:[c:2]:[s:6]:1>>C-C(-C)(-C)-[O:1].Br-[C:2]-[C:3]=O.[N:4]-[C:5]=[S:6]_-110200_000000_000000,"{'A': [1], 'B': [(3, 4), (2, 6)], 'C': [], 'R': []}","{3: 0, 2: 1, 6: 0, 5: 0, 1: -1, 4: 2}","{3: 0, 2: 0, 6: 0, 5: 0, 1: 0, 4: 0}","{3: 0, 2: 0, 6: 0, 5: 0, 1: 0, 4: 0}",2
13950,[N:1]-[c:3]:[c:4]-[O:2]>>[N:1].[O:2].F-[c:3]:[c:4]-F_1100_0000_0000,"{'A': [], 'B': [(1, 3), (2, 4)], 'C': [], 'R': []}","{1: 1, 3: 0, 4: 0, 2: 1}","{1: 0, 3: 0, 4: 0, 2: 0}","{1: 0, 3: 0, 4: 0, 2: 0}",7
13951,[O:1]-[C:4]=[C:3]>>[O:1].C-C(=O)-O-[C:2]-[C:3]=[C:4]_0000_-1000_0000,"{'A': [2], 'B': [(1, 4)], 'C': [], 'R': []}","{1: 0, 4: 0, 3: 0, 2: 0}","{1: -1, 4: 0, 3: 0, 2: 0}","{1: 0, 4: 0, 3: 0, 2: 0}",1
13952,[n:1]:[c:2]-[N:3]>>O=[N:1]-[O-].[C:2]#[N:3]_00-2_100_000,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 3: -2, 1: 0}","{2: 0, 3: 0, 1: 1}","{2: 0, 3: 0, 1: 0}",12
13953,[O:1]>>C-c1:c:c(-C(=O)-[O:1]):c(-C):n:c:1-O-C-C(-F)(-F)-F_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},1
13954,[O:1]-[C:2]>>[O:1].C-C(-C)-[C@H]1-N(-[C:2])-C(=O)-O-C-1(-C)-C_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",1
13955,[O:1]-[C:2]>>[O:1].[C:2]-N-c1:c:c:c:c:c:1_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",9
13956,[N:1]>>C-C(-C)(-C)-c1:c:c:c:c(-C(=O)-N-[C@H](-C-C-C-C(=O)-[N:1])-C(=O)-O-C(-c2:c:c:c:c:c:2)-c2:c:c:c:c:c:2):c:1_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},1
13957,[n:3].[C:1]-[c:2]>>[C:1].I-[c:2].C-C(=O)-[n:3]_10-1_000_000,"{'A': [3], 'B': [(1, 2)], 'C': [], 'R': []}","{3: -1, 2: 0, 1: 1}","{3: 0, 2: 0, 1: 0}","{3: 0, 2: 0, 1: 0}",2
13958,[N:1]>>C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-[N:1]_0_1_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: 0},{1: 1},{1: 0},1
13959,[O:2].[C:1]>>O-[C:1].[O:2]-C-c1:c:c:c:c:c:1_-1-1_00_10,"{'A': [1, 2], 'B': [], 'C': [], 'R': []}","{1: -1, 2: -1}","{1: 0, 2: 0}","{1: 1, 2: 0}",2
13960,[c:1]-[C:2]>>O-B(-O)-[c:1].F-C(-F)(-F)-S(=O)(=O)-O-[C:2]_00_00_02,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 2}",1
13961,[O:3].[c:1]-[Br:2]>>[c:1].Br-[Br:2].[O:3]-C-c1:c:c:c:c:c:1_10-1_000_000,"{'A': [3], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0, 3: -1}","{1: 0, 2: 0, 3: 0}","{1: 0, 2: 0, 3: 0}",3
13962,[N:1].[O:2]=[c:3]:[n:4]:[c:5](=[O:6]):[n:7]>>C-C(-C)(-C)-O-C(=O)-[N:1].C-[O:2]-[c:3]:[n:4]:[c:5](-[O:6]-C):[n:7]_-100-100-1_0000000_0000000,"{'A': [1, 6, 2], 'B': [], 'C': [], 'R': [7, 7, 4, 4]}","{1: -1, 7: -1, 5: 0, 6: 0, 4: -1, 3: 0, 2: 0}","{1: 0, 7: 0, 5: 0, 6: 0, 4: 0, 3: 0, 2: 0}","{1: 0, 7: 0, 5: 0, 6: 0, 4: 0, 3: 0, 2: 0}",1
13963,[n:2].[n:1]>>[n:1].C-C(-C)(-C)-C(=O)-O-C-[n:2]_-10_00_00,"{'A': [2], 'B': [], 'C': [], 'R': [1, 1]}","{2: 0, 1: -1}","{2: 0, 1: 0}","{2: 0, 1: 0}",1
13964,[n:2].[c:1]-[C:3]-[F:4]>>I-[c:1].C-C(-C)-[Si](-[n:2])(-C(-C)-C)-C(-C)-C.C-O-C(=O)-[C:3]-S(=O)(=O)-[F:4]_0-100_0000_0000,"{'A': [2], 'B': [(1, 3), (3, 4)], 'C': [], 'R': []}","{2: -1, 1: 0, 3: 0, 4: 0}","{2: 0, 1: 0, 3: 0, 4: 0}","{2: 0, 1: 0, 3: 0, 4: 0}",1
13965,[N:5]-[c:4](:[n:1]):[c:3]:[c:2]>>C-C(-C)(-C)-O-C(=O)-[N:1].[C:2]=[C:3]\[C:4]#[N:5]_1000-2_00000_00000,"{'A': [], 'B': [(1, 4)], 'C': [(3, 2), (2, 3)], 'R': []}","{3: 0, 2: 0, 1: 1, 4: 0, 5: -2}","{3: 0, 2: 0, 1: 0, 4: 0, 5: 0}","{3: 0, 2: 0, 1: 0, 4: 0, 5: 0}",1
13966,[O:2].[O:1]-[Si:3]>>[O:1].C-[O:2].Cl-[Si:3]_1-10_000_000,"{'A': [2], 'B': [(1, 3)], 'C': [], 'R': []}","{2: -1, 1: 1, 3: 0}","{2: 0, 1: 0, 3: 0}","{2: 0, 1: 0, 3: 0}",5
13967,[C:1]-[Cl:2]>>O-[C:1].O=S(=O)(-[Cl:2])-c1:c:c:c:c:c:1_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",1
13968,[N:1]-[O:2]>>C-C(-C)-[N:1].Cl-c1:c:c:c:c(-C(=O)-O-[O:2]):c:1_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",1
13969,[O:1].[C:2]=[O:3]>>[O:1]-C1-C-C-C-C-O-1.C-C1(-C)-C-O-[C:2]-[O:3]-C-1_-100_000_000,"{'A': [2, 3, 1], 'B': [], 'C': [], 'R': []}","{2: 0, 3: 0, 1: -1}","{2: 0, 3: 0, 1: 0}","{2: 0, 3: 0, 1: 0}",1
13970,[c:1]:[n:4]:[c:3]:[c:2]>>F-[c:1].[C:2]=[C:3]/[N:4]_0001_0000_0000,"{'A': [], 'B': [(1, 4)], 'C': [(2, 3), (3, 2)], 'R': []}","{2: 0, 3: 0, 4: 1, 1: 0}","{2: 0, 3: 0, 4: 0, 1: 0}","{2: 0, 3: 0, 4: 0, 1: 0}",7
13971,[n:2].[N:1]-[c:3]>>[N:1].C-C(-C)(-C)-O-C(=O)-[n:2].F-C(-F)(-F)-S(=O)(=O)-O-[c:3]_1-10_000_000,"{'A': [2], 'B': [(1, 3)], 'C': [], 'R': []}","{3: 0, 1: 1, 2: -1}","{3: 0, 1: 0, 2: 0}","{3: 0, 1: 0, 2: 0}",1
13972,[N:1]-[C:2]>>[N:1].C-O-C(=O)-[C@H](-C-[C@H]1-C-C2(-C-C-2)-N-C-1=O)-N-C(=O)-[C@H](-C-C1-C-C-1)-N-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",1
13973,[N:2].[C:4]-[C:3](=[O:5])-[c:1]>>Br-[c:1].C-C(=O)-[N:2].C-C-C-[CH2]-[Sn](-[CH2]-C-C-C)(-[CH2]-C-C-C)-[C:3](=[C:4])-[O:5]-C-C_0-10-10_00000_00000,"{'A': [2, 5], 'B': [(1, 3)], 'C': [], 'R': []}","{2: -1, 1: 0, 3: 0, 4: -1, 5: 0}","{2: 0, 1: 0, 3: 0, 4: 0, 5: 0}","{2: 0, 1: 0, 3: 0, 4: 0, 5: 0}",2
13974,[C:1]>>C-C(-C)-O-C(=O)-O-[C:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},7
13975,[N:1]-[C:2]>>[N:1].C-c1:c:c:c(-F):c:c:1-n1:n:c(-C2-C-C3(-C-2)-C-N(-[C:2])-C-3):c:c:1-C_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",1
13976,[P:1]=[O:2]>>[P:1].C-C-N(-C-C)-c1:c:c:c2:c(-C):c(-C-C-[O:2]):c(=O):o:c:2:c:1_01_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 1, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",1
13977,[O:1]-[c:2]>>[O:1].O-[c:2]_00_-10_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: -1, 2: 0}","{1: 0, 2: 0}",2
13978,[C:1].[C:2]=[C:3]>>C-[Si](-C)(-C)-[C:1].O-[C:2]-[C:3]_-101_000_000,"{'A': [1, 2], 'B': [], 'C': [], 'R': []}","{1: -1, 2: 0, 3: 1}","{1: 0, 2: 0, 3: 0}","{1: 0, 2: 0, 3: 0}",1
13979,[n:3]:[c:2]:[c:1]=[O:4]>>[C:1]-[C:2]=[N:3].[Cl]-[Cr](-[O-])(=[O:4])=[O]_2000_0000_0000,"{'A': [], 'B': [(1, 4)], 'C': [(2, 3), (3, 2)], 'R': []}","{1: 2, 4: 0, 2: 0, 3: 0}","{1: 0, 4: 0, 2: 0, 3: 0}","{1: 0, 4: 0, 2: 0, 3: 0}",2
13980,[S:4]-[c:3](:[n:1]):[s:5]:[c:2]>>[N:1].Cl-[c:2].C-C(-C)-C-O-[C:3](=[S:4])-[S:5]-[K]_200-10_00000_00000,"{'A': [], 'B': [(2, 5), (1, 3)], 'C': [], 'R': []}","{2: 0, 1: 2, 3: 0, 4: -1, 5: 0}","{2: 0, 1: 0, 3: 0, 4: 0, 5: 0}","{2: 0, 1: 0, 3: 0, 4: 0, 5: 0}",1
13981,[O:3].[c:1]:[c:2]>>O=[C:1]-[C:2].C-C(-C)(-C)-[Si](-C)(-C)-[O:3]_-11-1_000_000,"{'A': [3, 1], 'B': [], 'C': [], 'R': []}","{3: -1, 1: -1, 2: 1}","{3: 0, 1: 0, 2: 0}","{3: 0, 1: 0, 2: 0}",1
13982,[n:1].[C:2]-[S:5]-[c:4]:[n:3]>>[n:1].Cl-[C:2].[n:3]:[c:4]=[S:5]_10100_10000_00000,"{'A': [], 'B': [(2, 5)], 'C': [], 'R': [1, 1, 3, 3]}","{4: 0, 5: 0, 2: 0, 1: 1, 3: 1}","{4: 0, 5: 0, 2: 0, 1: 1, 3: 0}","{4: 0, 5: 0, 2: 0, 1: 0, 3: 0}",1
13983,[N:1].[O:2].[O:3].[O:4]>>[N:1]-C-c1:c:c:c:c:c:1.[O:2]-C-c1:c:c:c:c:c:1.[O:3]-C-c1:c:c:c:c:c:1.[O:4]-C-c1:c:c:c:c:c:1_-1-1-1-1_0000_0000,"{'A': [1, 4, 3, 2], 'B': [], 'C': [], 'R': []}","{1: -1, 4: -1, 3: -1, 2: -1}","{1: 0, 4: 0, 3: 0, 2: 0}","{1: 0, 4: 0, 3: 0, 2: 0}",3
13984,[N:1]-[C:2]>>[N:1].N-C-C-N-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",4
13985,[I:1]-[c:2].[I:3]-[c:4].[I:5]-[c:6].[I:7]-[c:8]>>[Br:1]-[c:2].[Br:3]-[c:4].[Br:5]-[c:6].[Br:7]-[c:8]_00000000_00000000_00000000,"{'A': [], 'B': [], 'C': [(8, 7), (7, 8), (6, 5), (5, 6), (4, 3), (3, 4), (2, 1), (1, 2)], 'R': []}","{8: 0, 7: 0, 6: 0, 5: 0, 4: 0, 3: 0, 2: 0, 1: 0}","{8: 0, 7: 0, 6: 0, 5: 0, 4: 0, 3: 0, 2: 0, 1: 0}","{8: 0, 7: 0, 6: 0, 5: 0, 4: 0, 3: 0, 2: 0, 1: 0}",2
13986,[O:2].[O:1]-[C:3]>>[O:1].C-C(-C)(-C)-[Si](-C)(-C)-[O:2].F-C(-F)(-F)-S(=O)(=O)-O-[C:3]_1-10_000_000,"{'A': [2], 'B': [(1, 3)], 'C': [], 'R': []}","{1: 1, 3: 0, 2: -1}","{1: 0, 3: 0, 2: 0}","{1: 0, 3: 0, 2: 0}",5
13987,[n:3].[N:4].[S:1]-[c:2]>>[S:1].I-[c:2].[n:3]-C1-C-C-C-C-O-1.C-O-c1:c:c:c(-C-[N:4]):c:c:1_10-1-1_0000_0000,"{'A': [4, 3], 'B': [(1, 2)], 'C': [], 'R': []}","{4: -1, 2: 0, 1: 1, 3: -1}","{4: 0, 2: 0, 1: 0, 3: 0}","{4: 0, 2: 0, 1: 0, 3: 0}",2
13988,[c:2]:[c:4]:[c:3]:[n:1]>>[N:1].O=[C:2].O-[C:3]-[C:4]_1002_0000_0000,"{'A': [], 'B': [(2, 4), (1, 3)], 'C': [], 'R': []}","{2: 0, 1: 1, 3: 0, 4: 2}","{2: 0, 1: 0, 3: 0, 4: 0}","{2: 0, 1: 0, 3: 0, 4: 0}",5
13989,[O:1].[c:2]1:[n:3]:[c:4]:[c:5]:[s:6]:1>>C-[O:1].O=[C:2]-[N:3]-[C:4]-[C:5]=O.C-O-c1:c:c:c(-P2(=S)-S-P(=[S:6])(-c3:c:c:c(-O-C):c:c:3)-S-2):c:c:1_-101100_000000_000000,"{'A': [1], 'B': [(2, 6), (5, 6)], 'C': [(3, 4), (4, 3)], 'R': []}","{2: 0, 3: 1, 4: 1, 5: 0, 6: 0, 1: -1}","{2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 1: 0}","{2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 1: 0}",1
13990,[O:2].[c:1]-[C:3]=[C:4]>>[c:1].C-C-[O:2].O=[C:3]-[C:4]_1-101_0000_0000,"{'A': [2], 'B': [(1, 3)], 'C': [], 'R': []}","{2: -1, 3: 0, 1: 1, 4: 1}","{2: 0, 3: 0, 1: 0, 4: 0}","{2: 0, 3: 0, 1: 0, 4: 0}",1
13991,[N:2].[O:1]>>C-[O:1].O=C1-[N:2]-C(=O)-c2:c:c:c:c:c:2-1_-1-2_00_00,"{'A': [1, 2], 'B': [], 'C': [], 'R': []}","{1: -1, 2: -2}","{1: 0, 2: 0}","{1: 0, 2: 0}",22
13992,[N:1]-[C:2]>>[N:1].O=S(=O)(-[C:2])-C-c1:c:c:c:c:c:1_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",1
13993,[c:3]1:[n:1]:[n:2]:[c:5]:[c:6]:[c:4]:1>>[N:1]-[N:2].O=[C:3]-[C:4].O-[C:5]-[C:6]=O_210200_000000_000000,"{'A': [], 'B': [(4, 6), (1, 3), (2, 5)], 'C': [], 'R': []}","{4: 2, 3: 0, 1: 2, 2: 1, 5: 0, 6: 0}","{4: 0, 3: 0, 1: 0, 2: 0, 5: 0, 6: 0}","{4: 0, 3: 0, 1: 0, 2: 0, 5: 0, 6: 0}",3
13994,[O:2].[S:1]>>C-C(-C)(-C)-[S:1].C-C(=O)-[O:2]_-1-1_00_00,"{'A': [2, 1], 'B': [], 'C': [], 'R': []}","{2: -1, 1: -1}","{2: 0, 1: 0}","{2: 0, 1: 0}",1
13995,[N:3].[n:2].[n:1]-[C:4]>>[n:1].[n:2].C-C(=O)-[N:3].C-C(=O)-O-[C:4]_01-10_0000_0000,"{'A': [3], 'B': [(1, 4)], 'C': [], 'R': [2, 2]}","{3: -1, 2: 1, 1: 0, 4: 0}","{3: 0, 2: 0, 1: 0, 4: 0}","{3: 0, 2: 0, 1: 0, 4: 0}",5
13996,[O:4].[C:1]-[N:2]-[C:3]>>[C:1]#[N:2].C-C(-C)(-C)-O-C(=O)-O-[C:3].O=C(-[O:4])-c1:c:c:c:c:c:1_-2-10-1_0000_0000,"{'A': [4], 'B': [(2, 3)], 'C': [], 'R': []}","{3: 0, 2: -1, 1: -2, 4: -1}","{3: 0, 2: 0, 1: 0, 4: 0}","{3: 0, 2: 0, 1: 0, 4: 0}",1
13997,[C:1]-[C:2]-[C:3]=[O:4]>>[C:1].Br-[C:2]-[C:3](-O-C-C)-[O:4]-C-C_1000_0000_0000,"{'A': [4, 3], 'B': [(1, 2)], 'C': [], 'R': []}","{4: 0, 3: 0, 2: 0, 1: 1}","{4: 0, 3: 0, 2: 0, 1: 0}","{4: 0, 3: 0, 2: 0, 1: 0}",2
13998,[N:1]-[c:3]:[n:2]>>[N:1].C-c1:c:c:c(-S(=O)(=O)-[n:2]:[c:3]-Cl):c:c:1_1-10_000_000,"{'A': [2], 'B': [(1, 3)], 'C': [], 'R': []}","{2: -1, 3: 0, 1: 1}","{2: 0, 3: 0, 1: 0}","{2: 0, 3: 0, 1: 0}",2
13999,[O:1].[O:2].[O:3].[N:4]>>C-C(=O)-[O:1].C-C(=O)-[O:2].C-C(=O)-[O:3].C-C(-C)(-C)-O-C(=O)-[N:4]_-1-1-1-1_0000_0000,"{'A': [1, 3, 2, 4], 'B': [], 'C': [], 'R': []}","{1: -1, 3: -1, 2: -1, 4: -1}","{1: 0, 3: 0, 2: 0, 4: 0}","{1: 0, 3: 0, 2: 0, 4: 0}",1
14000,[O:3].[N:1]-[c:2]>>[N:1].I-[c:2].C-C-[O:3]_10-1_000_000,"{'A': [3], 'B': [(1, 2)], 'C': [], 'R': []}","{3: -1, 1: 1, 2: 0}","{3: 0, 1: 0, 2: 0}","{3: 0, 1: 0, 2: 0}",7
14001,[O:1]>>C-c1:c:c(/C=C(\F)-C(=O)-[O:1]):n:c(-C):n:1_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},1
14002,[O:1].[s:2]:[c:3]:[c:4]>>C-[O:1].O=[S:2]-[C:3]=[C:4]_-1000_0000_0000,"{'A': [2, 1], 'B': [], 'C': [(3, 4), (4, 3)], 'R': []}","{3: 0, 4: 0, 2: 0, 1: -1}","{3: 0, 4: 0, 2: 0, 1: 0}","{3: 0, 4: 0, 2: 0, 1: 0}",3
14003,[O:2].[N:1]-[C:3]>>[N:1].C-C(-C)(-C)-[Si](-C)(-C)-[O:2].O=[N+](-[O-])-c1:c:c:c(-O-[C:3]):c:c:1_1-10_000_000,"{'A': [2], 'B': [(1, 3)], 'C': [], 'R': []}","{1: 1, 3: 0, 2: -1}","{1: 0, 3: 0, 2: 0}","{1: 0, 3: 0, 2: 0}",3
